current_epoch	train_loss	train_acc	train_f_score_hateful	train_f_score_abusive	train_f_score_normal	train_f_score_spam	train_acc_class_hateful	train_loss_class_hateful	train_acc_class_abusive	train_loss_class_abusive	train_acc_class_normal	train_loss_class_normal	train_acc_class_spam	train_loss_class_spam
51.0000	0.5365	0.7924	0.1572	0.7175	0.8388	0.3270	0.0909	2.2129	0.6479	0.8767	0.9783	0.2489	0.2247	1.1863
44.0000	0.5377	0.7916	0.1565	0.7176	0.8383	0.3235	0.0907	2.2418	0.6484	0.8703	0.9784	0.2485	0.2220	1.1885
45.0000	0.5393	0.7910	0.1675	0.7164	0.8239	0.3227	0.0834	2.2569	0.6512	0.8753	0.9790	0.2477	0.2197	1.1981
52.0000	0.5366	0.7919	0.1675	0.7230	0.8323	0.3185	0.0953	2.2027	0.6538	0.8687	0.9788	0.2476	0.2176	1.1954
45.0000	0.5374	0.7917	0.1622	0.7215	0.8381	0.3229	0.0944	2.2340	0.6532	0.8647	0.9783	0.2486	0.2222	1.1891
46.0000	0.5389	0.7918	0.1618	0.7180	0.8223	0.6515	0.8717	0.9781	0.2506	0.2261	1.1869	0.3299	0.0781	2.2336
53.0000	0.5363	0.7916	0.1502	0.7173	0.8437	0.3208	0.0877	2.2180	0.6529	0.8716	0.9785	0.2466	0.2225	1.1858
46.0000	0.5371	0.7917	0.1797	0.7147	0.8252	0.3245	0.0957	2.2245	0.6479	0.8693	0.9780	0.2489	0.2250	1.1865
54.0000	0.5361	0.7925	0.1606	0.7238	0.8351	0.6550	0.8628	0.9779	0.2496	0.2255	1.1831	0.3292	0.0903	2.2360
47.0000	0.5387	0.7915	0.1575	0.7182	0.8336	0.3276	0.0889	2.2338	0.6501	0.8776	0.9783	0.2482	0.2242	1.1891
47.0000	0.5371	0.7916	0.1592	0.7198	0.8360	0.3226	0.0861	2.2312	0.6540	0.8741	0.9780	0.2482	0.2252	1.1908
55.0000	0.5362	0.7914	0.1521	0.7173	0.8358	0.3208	0.0826	2.2425	0.6488	0.8732	0.9788	0.2463	0.2195	1.1948
48.0000	0.5384	0.7915	0.1456	0.7140	0.8347	0.3219	0.0729	2.2658	0.6482	0.8855	0.9785	0.2480	0.2207	1.1959
56.0000	0.5360	0.7922	0.1601	0.7115	0.8381	0.3222	0.0929	2.2364	0.6454	0.8790	0.9783	0.2486	0.2224	1.1883
48.0000	0.5370	0.7918	0.1511	0.7202	0.8391	0.3270	0.0872	2.2480	0.6512	0.8764	0.9786	0.2471	0.2222	1.1921
49.0000	0.5382	0.7917	0.1488	0.7253	0.8396	0.3210	0.0844	2.2379	0.6522	0.8695	0.9783	0.2493	0.2197	1.1925
57.0000	0.5359	0.7922	0.1620	0.7176	0.8347	0.3296	0.0885	2.2427	0.6530	0.8716	0.9781	0.2479	0.2264	1.1834
49.0000	0.5368	0.7919	0.1603	0.7149	0.8328	0.3257	0.0847	2.2221	0.6461	0.8788	0.9780	0.2492	0.2237	1.1870
50.0000	0.5380	0.7913	0.1592	0.7133	0.8301	0.3221	0.0855	2.2473	0.6449	0.8855	0.9788	0.2471	0.2194	1.1965
58.0000	0.5357	0.7918	0.1740	0.7209	0.8283	0.3235	0.0974	2.2167	0.6473	0.8786	0.9786	0.2468	0.2210	1.1924
50.0000	0.5367	0.7919	0.1609	0.7196	0.8323	0.3310	0.0946	2.2226	0.6482	0.8703	0.9784	0.2477	0.2249	1.1875
51.0000	0.5378	0.7919	0.1554	0.7194	0.8350	0.3268	0.0832	2.2321	0.6568	0.8624	0.9783	0.2484	0.2248	1.1895
59.0000	0.5357	0.7920	0.1567	0.7159	0.8375	0.3245	0.0871	2.2547	0.6492	0.8689	0.9785	0.2472	0.2224	1.1866
51.0000	0.5366	0.7917	0.1643	0.7190	0.8324	0.3244	0.0925	2.2206	0.6488	0.8764	0.9786	0.2472	0.2221	1.1907
52.0000	0.5376	0.7918	0.1525	0.7167	0.8383	0.3295	0.0864	2.2278	0.6494	0.8847	0.9782	0.2491	0.2258	1.1868
60.0000	0.5356	0.7924	0.1619	0.7180	0.8335	0.3308	0.0890	2.2354	0.6503	0.8670	0.9780	0.2484	0.2293	1.1798
52.0000	0.5364	0.7920	0.1602	0.7155	0.8357	0.3281	0.0897	2.2340	0.6450	0.8856	0.9779	0.2482	0.2269	1.1832
53.0000	0.5376	0.7913	0.1550	0.7207	0.8315	0.3201	0.0831	2.2353	0.6488	0.8691	0.9788	0.2465	0.2202	1.1903
61.0000	0.5354	0.7919	0.1731	0.7166	0.8267	0.3235	0.0925	2.1990	0.6495	0.8742	0.9785	0.2468	0.2202	1.1919
62.0000	0.5353	0.7920	0.1526	0.7167	0.8380	0.3292	0.0820	2.2555	0.6509	0.8671	0.9785	0.2469	0.2257	1.1851
53.0000	0.5362	0.7925	0.1592	0.7171	0.8326	0.3282	0.0883	2.2270	0.6497	0.8723	0.9779	0.2494	0.2247	1.1852
54.0000	0.5374	0.7917	0.1542	0.7215	0.8353	0.3264	0.0847	2.2315	0.6554	0.8606	0.9780	0.2485	0.2238	1.1900
63.0000	0.5355	0.7925	0.1729	0.7178	0.8342	0.3271	0.0970	2.2242	0.6565	0.8607	0.9780	0.2486	0.2270	1.1836
54.0000	0.5361	0.7920	0.1683	0.7215	0.8279	0.3241	0.0857	2.2284	0.6523	0.8691	0.9789	0.2471	0.2215	1.1903
55.0000	0.5371	0.7918	0.1521	0.7198	0.8382	0.3201	0.0818	2.2649	0.6502	0.8688	0.9784	0.2485	0.2226	1.1859
